#--- words.txt ---------------------------------------------------------------#
#
# cagüentó database word information
#
# binarized files can be renamed using python: import os; [os.rename(f, "bw{}".format(f)) for f in os.listdir(".")]
# for rgb files: import os; [os.rename(nm, "rgb{}".format(nm)) for nm in os.listdir(".") if "png" in nm or "jpg" in nm]
# for adding writer prefix: import os; [os.rename(nm, "w01_{}".format(nm)) for nm in os.listdir(".") if "png" in nm or "jpg" in nm]
#
# format: w01_bw_01 NA 154 NA X Y W H NA A
#
#     w01_bw_01       -> word id for writer 01 and binarized image (bit depth = 8)
#                            If 'rgb', then it's a RGB image (bit depth = 24)
#                            If it uses double underscore ('__1'), then it's character image
#     ok              -> result of word segmentation
#                            ok: word was correctly
#                            er: segmentation of word can be bad
#                            NA: word segmentation has not been done
#
#     154             -> graylevel to binarize the line containing this word
#     1               -> number of components for this word (NA if it's not been done)
#     408 768 27 51   -> bounding box around this word in x,y,w,h format
#                            X   Y   W  H: bounding box has not been calculated
#     AT              -> the grammatical tag for this word, see the file tagset.txt for an explanation
#                            NA if it has not been noted
#     A               -> the transcription for this word (whitespaces are represented as underscores)
#
# You can comment out the next row (header if you want to read it as a table or dataframe)
id seg bin comp bb_x bb_y bb_w bb_h tag word
w01_bw_01 NA 154 NA X Y W H NA pañuelo
w01_bw_02 NA 154 NA X Y W H NA enseñar
w01_bw_03 NA 154 NA X Y W H NA LEÑE
w01_bw_04 NA 154 NA X Y W H NA leña
w01_bw_05 NA 154 NA X Y W H NA Castellón
w01_bw_06 NA 154 NA X Y W H NA Castaña
w01_bw_07 NA 154 NA X Y W H NA año
w01_bw_08 NA 154 NA X Y W H NA señora
w01_bw_09 NA 154 NA X Y W H NA ñoño
w01_bw_10 NA 154 NA X Y W H NA añorar
w01_bw_11 NA 154 NA X Y W H NA Retoño
w01_bw_12 NA 154 NA X Y W H NA Señal
w01_bw_13 NA 154 NA X Y W H NA Murciélago
w01_bw_14 NA 154 NA X Y W H NA Extrañé
w01_bw_15 NA 154 NA X Y W H NA Lápiz
w01_bw_16 NA 154 NA X Y W H NA Limón
w01_bw_17 NA 154 NA X Y W H NA Enseñó
w01_bw_18 NA 154 NA X Y W H NA Apícola
w01_bw_19 NA 154 NA X Y W H NA degüello
w01_bw_20 NA 154 NA X Y W H NA Cigüeña
w01_bw_21 NA 154 NA X Y W H NA Bilingüe
w01_bw_22 NA 154 NA X Y W H NA ARGÜIR
w01_bw_23 NA 154 NA X Y W H NA LENGÜETAZO
w01_bw_24 NA 154 NA X Y W H NA Santigüé
w01_rgb_01 NA 154 NA X Y W H NA pañuelo
w01_rgb_02 NA 154 NA X Y W H NA enseñar
w01_rgb_03 NA 154 NA X Y W H NA LEÑE
w01_rgb_04 NA 154 NA X Y W H NA leña
w01_rgb_05 NA 154 NA X Y W H NA Castellón
w01_rgb_06 NA 154 NA X Y W H NA Castaña
w01_rgb_07 NA 154 NA X Y W H NA año
w01_rgb_08 NA 154 NA X Y W H NA señora
w01_rgb_09 NA 154 NA X Y W H NA ñoño
w01_rgb_10 NA 154 NA X Y W H NA añorar
w01_rgb_11 NA 154 NA X Y W H NA Retoño
w01_rgb_12 NA 154 NA X Y W H NA Señal
w01_rgb_13 NA 154 NA X Y W H NA Murciélago
w01_rgb_14 NA 154 NA X Y W H NA Extrañé
w01_rgb_15 NA 154 NA X Y W H NA Lápiz
w01_rgb_16 NA 154 NA X Y W H NA Limón
w01_rgb_17 NA 154 NA X Y W H NA Enseñé
w01_rgb_18 NA 154 NA X Y W H NA Apícola
w01_rgb_19 NA 154 NA X Y W H NA degüello
w01_rgb_20 NA 154 NA X Y W H NA Cigüeña
w01_rgb_21 NA 154 NA X Y W H NA Bilingüe
w01_rgb_22 NA 154 NA X Y W H NA ARGÜIR
w01_rgb_23 NA 154 NA X Y W H NA LENGÜETAZO
w01_rgb_24 NA 154 NA X Y W H NA Santigüé
w02_bw__1 NA 154 NA X Y W H NA Ñ
w02_bw__2 NA 154 NA X Y W H NA Ü
w02_bw__3 NA 154 NA X Y W H NA ü
w02_bw__4 NA 154 NA X Y W H NA ñ
w02_bw_01 NA 154 NA X Y W H NA Mañana
w02_bw_02 NA 154 NA X Y W H NA desagüe
w02_bw_03 NA 154 NA X Y W H NA fragües
w02_bw_04 NA 154 NA X Y W H NA enseñanza
w02_bw_05 NA 154 NA X Y W H NA COMPAÑÍA
w02_bw_06 NA 154 NA X Y W H NA Lengüetazo
w02_bw_07 NA 154 NA X Y W H NA Monolingüe
w02_bw_08 NA 154 NA X Y W H NA Antigüedad
w02_bw_09 NA 154 NA X Y W H NA Montaña
w02_bw_10 NA 154 NA X Y W H NA BILINGÜE
w02_bw_11 NA 154 NA X Y W H NA SEÑALADO
w02_bw_12 NA 154 NA X Y W H NA ácido
w02_bw_13 NA 154 NA X Y W H NA madrileño
w02_bw_14 NA 154 NA X Y W H NA Ambigüedad
w02_bw_15 NA 154 NA X Y W H NA PIRAGÜISMO
w02_bw_16 NA 154 NA X Y W H NA Empeño
w02_bw_17 NA 154 NA X Y W H NA CUMPLEAÑOS
w02_bw_18 NA 154 NA X Y W H NA cuñado
w02_bw_19 NA 154 NA X Y W H NA Agüero
w02_bw_20 NA 154 NA X Y W H NA Acompañante
w02_bw_21 NA 154 NA X Y W H NA cigüeña
w02_bw_22 NA 154 NA X Y W H NA CASTAÑO
w02_bw_23 NA 154 NA X Y W H NA etéreo
w02_bw_24 NA 154 NA X Y W H NA extrañeza
w02_bw_25 NA 154 NA X Y W H NA Riñón
w02_bw_26 NA 154 NA X Y W H NA SANTIGÜÉ
w02_bw_27 NA 154 NA X Y W H NA DISEÑADOR
w02_bw_28 NA 154 NA X Y W H NA Lingüística
w02_bw_29 NA 154 NA X Y W H NA caña
w02_bw_30 NA 154 NA X Y W H NA Estreñimiento
w02_bw_31 NA 154 NA X Y W H NA Halagüeño
w02_bw_32 NA 154 NA X Y W H NA PARAGÜITAS
w02_bw_33 NA 154 NA X Y W H NA trilingüe
w02_bw_34 NA 154 NA X Y W H NA útero
w02_bw_35 NA 154 NA X Y W H NA sinvergüenza
w02_rgb__1 NA 154 NA X Y W H NA Ñ
w02_rgb__2 NA 154 NA X Y W H NA Ü
w02_rgb__3 NA 154 NA X Y W H NA ü
w02_rgb__4 NA 154 NA X Y W H NA ñ
w02_rgb_01 NA 154 NA X Y W H NA Mañana
w02_rgb_02 NA 154 NA X Y W H NA desagüe
w02_rgb_03 NA 154 NA X Y W H NA fragües
w02_rgb_04 NA 154 NA X Y W H NA enseñanza
w02_rgb_05 NA 154 NA X Y W H NA COMPAÑÍA
w02_rgb_06 NA 154 NA X Y W H NA Lengüetazo
w02_rgb_07 NA 154 NA X Y W H NA Monolingüe
w02_rgb_08 NA 154 NA X Y W H NA Antigüedad
w02_rgb_09 NA 154 NA X Y W H NA Montaña
w02_rgb_10 NA 154 NA X Y W H NA BILINGÜE
w02_rgb_11 NA 154 NA X Y W H NA SEÑALADO
w02_rgb_12 NA 154 NA X Y W H NA ácido
w02_rgb_13 NA 154 NA X Y W H NA madrileño
w02_rgb_14 NA 154 NA X Y W H NA Ambigüedad
w02_rgb_15 NA 154 NA X Y W H NA PIRAGÜISMO
w02_rgb_16 NA 154 NA X Y W H NA Empeño
w02_rgb_17 NA 154 NA X Y W H NA CUMPLEAÑOS
w02_rgb_18 NA 154 NA X Y W H NA cuñado
w02_rgb_19 NA 154 NA X Y W H NA Agüero
w02_rgb_20 NA 154 NA X Y W H NA Acompañante
w02_rgb_21 NA 154 NA X Y W H NA cigüeña
w02_rgb_22 NA 154 NA X Y W H NA CASTAÑO
